ID_REF,GSM96454,GSM96455,GSM96456,GSM96457,GSM96458,GSM96459,GSM96461,GSM96462,GSM96463,GSM96464,GSM96466,GSM96467,GSM96468,GSM96469,GSM96470,GSM96471,GSM96472,GSM96473,GSM96474,GSM96475,GSM96476,GSM96477,GSM96478,GSM96479,GSM96480,GSM96481,GSM96482,GSM96483
266,1.297203,0,1.016763,1.198327,0.738833,1.326633,0.633304,0.35511,1.045872,1.238801,0.81931,0.69199,0.828258,0.753882,0.332315,0.21608,0.811041,1.594519,1.263671,0.84135,0.089018,0.445273,0.354854,0.342642,0.60418,0.062898,0,0.038407
267,0.512078,0.038532,0.724597,0.599146,0.289431,0.952504,0.677929,0.400428,0.527922,0.630358,0.598284,0.51463,0.912913,0.656217,0.053181,0,0.0641,0.127166,0.928714,0.589052,0,0,0,0.081251,0.127306,0.0882,0,0.033682
268,5.223138,2.150406,5.755921,5.339255,3.670558,5.351032,4.717358,5.171553,3.071411,6.01082,3.726764,5.213602,5.448442,4.778028,1.783788,1.869338,6.849721,3.900474,8.495376,5.202746,2.360005,2.767273,2.384228,1.758245,2.493648,2.415067,0.628145,1.979603
269,0.491591,0.332598,0.720016,0.623184,0.208906,0.697345,0.697157,0.238016,0.190488,0.448873,0.308228,0.478624,0.498278,0.43321,0.229033,0.050592,0.882814,0.862127,1.131161,2.197922,0.18934,0.271118,0.448861,0,0.388854,0,0,0.235976
270,2.233744,2.184625,0.924675,2.010131,1.445068,1.363319,1.242767,0.585874,0.721395,1.770059,1.170763,1.35623,1.333733,0.880353,1.33209,1.420006,8.162735,1.651761,3.444266,3.083097,2.06303,1.643643,0.877837,0.706179,1.290937,0.739055,1.761743,1.264758
271,0.276594,0,0.140697,0.027859,0,0.295866,0.222939,0.170343,0.250832,0.013442,0.183784,0,0.123939,0.014948,0,0,0.531761,0,0.733954,0,0,0,0,0,0,0,0,0
272,1.883393,0.492294,1.148083,1.058849,0.374526,1.821657,1.199676,0.828686,1.623783,1.126999,0.895436,1.084473,1.41491,0.624776,0.31959,0,4.799931,0.590314,4.255844,1.126026,0,0.458383,0.300902,0.329255,0.365636,0,0,0.294303
273,10.813091,5.11032,12.805957,12.598736,9.860947,15.063135,12.574311,8.820973,5.47265,15.760349,9.200436,14.637489,13.802082,12.185744,5.509378,6.508752,6.812945,8.567986,7.979902,8.063237,3.940849,6.715273,6.996897,5.134005,5.679539,6.956567,2.808931,4.998377
274,1.692368,0.455629,1.272945,1.632895,0.786175,1.920003,1.307683,0.748564,0.511684,1.486954,0.868939,1.371076,1.153957,1.352161,0.622145,0.835203,1.517118,1.115356,0.912366,5.143012,0.443434,0.708314,0.813412,0.503363,0.717198,0.565986,0,0.417439
275,0.140108,0.973915,0.356049,0.429296,0.125262,0.491804,0.250447,0.125755,0.155426,0.259214,0.425286,0.221768,0.573866,0.181011,0.337076,0.249699,0.79834,0.896209,1.266631,3.968104,0.86171,0.333186,0.459034,0.45065,0.282425,0.082963,0.298647,0.303074
276,0.799074,0.33971,3.524679,3.667116,2.185709,4.650499,2.825786,1.046232,1.190364,3.932165,1.994006,2.82055,3.137039,2.816582,0.887025,0,0.59379,1.141547,0.634186,1.456731,0.366442,0.948101,0.778663,0.423696,0.626726,0.971163,0,0.154398
277,0.132462,1.371332,1.31771,1.141285,0.967971,1.80973,1.104687,0.728744,0.47007,1.514578,0.695639,1.350742,1.457334,0.866359,1.634962,0.226605,0.152055,1.5218,0.847248,0.441725,0.095314,0.816975,0.726428,0.395408,0.560956,0.698939,0,0.221919
278,0.035292,0.220245,0.422328,0.546061,0.340697,0.857613,0.601677,0.354578,0.344048,0.806876,0.221896,0.344826,0.559805,0.438999,0.907138,0,0.761516,1.294163,0.186276,0.437339,0.281109,0.514846,0.763971,0,0.178841,0,0,0
279,0,0,0.156768,0.059851,0,0.221334,0.044962,0,0,0,0,0,0.01568,0.019554,0,0,0.176588,0.4115,0,0,0,0.103513,0,0,0,0,0,0
280,0,0,0.142172,0.385158,0,0.271981,0.09571,0,0,0,0,0,0.060195,0.309831,0,0,0.043439,0.270185,0,0,0,0.122129,0.269994,0,0,0.373101,0,0
281,0.511437,2.119029,1.91188,2.407113,1.308464,2.531946,1.343652,0.622818,0.770058,1.877289,1.423206,1.514924,2.796359,1.610669,1.133731,0.744286,0.910064,1.517478,0.929816,0.949096,0.420576,1.503934,0.946224,0.862053,1.333867,1.938978,0.186874,0.673883
282,4.955882,13.28413,19.319196,16.49,10.378809,21.343955,14.770368,9.834719,5.332336,21.987888,11.089967,18.339469,19.293924,13.556659,10.974507,14.613977,5.019978,18.300219,5.769044,9.748246,4.175861,11.848352,11.108114,7.358019,9.983198,20.864448,4.569965,7.239559
283,3.59948,3.243197,5.630419,5.167359,4.852757,6.99133,5.07452,2.617963,2.581417,6.878165,3.958598,5.922301,4.249767,3.784311,3.960217,3.927944,8.123646,7.472438,5.949579,4.929793,2.432359,3.771412,4.176201,2.913994,4.244673,4.742807,2.599383,2.695353
284,0,1.603318,1.307977,1.135226,0.412706,1.242965,0.991139,0.347585,0.410409,1.28386,0.365325,0.782559,0.948175,0.493574,1.119387,1.24249,0.83532,2.038295,0.791104,0.914903,0,1.186077,1.23107,0.516697,0.759263,1.784086,0,0.497073
285,0,1.082712,0.398505,0.382323,0.169051,0.558704,0.374832,0.017525,0.035486,0.137707,0.069452,0,0.31635,0.005491,0.050111,0,0.36698,0.783119,0.008928,0.178446,0,0.155687,0.538828,0,0.216635,0.475048,0.296243,0
286,0.372217,5.838626,1.027997,0.83328,0.348428,1.093189,0.638465,0.391963,0.305969,0.811437,0.595805,0.602656,1.138626,0.491538,1.374406,1.996604,2.553464,2.247496,3.932206,2.01096,4.863334,1.928845,1.662076,1.824526,2.382671,1.931773,1.96659,1.415492
287,2.500672,4.707503,5.778531,5.363567,2.93649,5.744702,4.987023,3.43003,1.89817,6.879917,3.26483,4.910029,5.247652,3.700782,4.117943,3.580993,4.53111,6.517257,4.198756,4.532565,2.819728,4.015372,4.353117,3.605009,3.100375,5.348164,2.1956,2.361905
288,0.011235,0.909484,1.174098,0.788518,0.484299,1.090054,0.936306,0.370631,0.39572,1.297619,0.569047,0.665096,0.711935,0.492479,1.196383,0.796738,0.725598,2.010609,0.910622,1.075562,0.376584,1.09481,1.232198,0.440812,0.458646,0.943012,0.25916,0.585477
289,0,0,0.286796,0.185637,0,0.223683,0.100617,0,0,0,0,0,0.169794,0.044872,0.277744,0,0.108874,0.305682,0,0.257066,0,0.005963,0.113766,0,0,0,0,0
290,0.047163,0.077283,0.077462,0.149944,0,0.19413,0.044711,0,0,0.006267,0,0,0.121243,0,0.327198,0,0,0.15078,0,0,0,0,0.036614,0,0.080569,0,0,0
291,3.453754,105.529774,1.009226,0.779522,1.376657,1.536028,1.119447,1.529833,2.02479,1.75432,0.646599,1.543257,1.531645,0.983901,26.270347,46.269574,59.919508,27.873418,64.163911,30.899887,64.689953,24.39265,23.641396,24.872264,22.361982,25.913386,41.246424,27.611204
292,1.096575,7.778318,1.270528,1.069237,0.534637,1.74469,1.189346,0.501044,0.526668,1.502065,0.807455,1.250925,1.229026,0.591925,4.087668,5.193968,5.662539,4.644839,3.538354,3.233419,5.034028,3.013937,3.027453,3.035893,2.768233,2.912863,2.359751,2.443121
293,0.948605,0.9294,1.82271,1.344716,0.779903,1.752415,1.218349,1.112588,0.468094,1.376446,0.815759,1.048974,1.305686,1.061034,0.636543,1.045011,1.162227,1.911111,2.020371,1.050356,1.152834,1.210052,0.74407,0.358205,0.836998,0.878793,0,0.872196
294,0,0.058626,0.055957,0.124735,0,0.063032,0.107132,0,0,0,0,0,0,0,0,0,0.05812,0.190147,0.629969,0.007451,0,0,0,0,0,0,0,0.222277
295,0.306577,0,0.194366,0.200829,0,0.258887,0.130617,0,0.090433,0.023434,0.080634,0.013833,0.215542,0.27713,0,0,0,0.012406,0.483164,0,0,0,0,0,0,0,0,0
296,0.153116,6.117662,0.747537,0.538025,0.163178,0.80335,0.769794,0.790033,0.424934,0.724592,0.465241,0.543379,0.760848,0.387735,1.427273,4.017771,4.18114,2.765332,3.168769,4.157571,4.940625,2.087011,2.560871,2.938059,2.256452,3.24174,2.257032,2.059797
297,3.283314,9.066839,3.755866,2.677625,2.30089,3.643815,2.824217,2.807107,1.423478,2.68206,1.737088,3.400375,3.282455,2.460384,7.168813,7.426969,8.887198,9.393629,8.939461,5.877647,4.769543,6.813349,7.155592,6.034501,6.646031,7.294589,6.77291,6.138233
298,0.268571,0.790706,0.457085,0.383349,0.179277,0.582203,0.256157,0.186621,0.158874,0.335301,0.110752,0.294214,0.408534,0.318174,0.572862,0.570837,1.126871,1.16025,1.143863,0.743223,0.48646,0.856773,1.02941,0.58033,0.772317,0.698166,0.024316,0.561768
299,0,0,0,0.039154,0,0.141988,0,0,0,0.009342,0,0,0,0.066178,0,0,0.697666,0.266465,1.098732,0,0,0.063024,0.192133,0,0.049259,0,0,0
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179335,0,0,0,0,0,0,0,0,0
301,0.564123,0.74739,1.919535,2.052876,0.943711,2.312772,2.000811,0.406014,0.454605,1.500694,0.750051,1.201917,1.394278,0.662996,1.452554,0.389992,0.747679,1.349094,0,0.797242,0.091897,0.622515,0.83499,0.293815,0.523138,1.258807,0.835177,0.318891
302,0,0.113368,0.225429,0.247684,0,0.540209,0.241029,0,0,0,0,0,0.169478,0,0.237813,0,0.812973,0.572859,0,0,0,0.002432,0.294069,0,0,0.409113,0,0
303,0.122646,0,0.352441,0.268844,0,0.539195,0.224266,0,0.035286,0,0,0,0.362491,0.198523,0,0,0.251864,0.230245,0,0,0,0.343669,0,0,0,0.300076,0,0
304,1.185042,0.595224,4.757447,4.398351,2.997844,8.002043,4.03371,1.722533,0.895169,4.837543,2.203956,3.567177,4.82923,2.836079,1.122803,1.000106,1.294392,2.222218,1.081951,0.005074,0,1.638643,1.603397,0.25271,1.071618,3.598377,0.41523,0.507413
305,0.259862,0,0.680127,0.477583,0.446507,1.405389,0.574044,0,0.178145,0.525681,0.238981,0.467248,0.590933,0.209991,0.520709,0,0.418788,0.326852,0.089024,0,0,0.445915,0.359245,0,0.162472,0.361078,0,0
306,8.498426,24.085739,12.177189,15.982021,11.749855,17.340885,12.483638,3.98369,4.272188,12.161543,7.860108,9.153322,10.158193,7.506295,10.271788,19.108641,17.457237,25.231374,8.278184,13.326814,6.594804,13.596628,13.585803,7.954859,12.760057,23.196168,18.000925,11.356768
307,0.57025,1.87635,0.731918,1.081858,0.53362,1.152956,0.690073,0,0.074003,0.770364,0.18943,0.547752,0.323204,0.089518,1.111016,1.693857,1.558653,2.319848,0.081032,1.007214,0.159675,0.717134,1.147161,0.35919,0.633961,0.441971,0.901833,0.457517
308,0.129279,0.310959,0.263532,0.295174,0.001161,0.651941,0.322846,0,0.058633,0.003644,0.014053,0,0.247594,0,0.212035,0,0.473959,0.613321,0.387525,0.111763,0.305586,0.321924,0.09246,0,0.070017,0.532355,0,0.026661
309,0,1.767017,0.658437,0.455477,0.233115,1.246784,0.644644,0.130787,0.09673,0.579092,0.100619,0.349985,0.734617,0.289621,0.279326,0.301752,1.079722,1.23117,0.896295,0.352786,0,0.524186,0.847138,0,0.473511,1.114703,0.821584,0.259226
310,0,0,0.454964,0.272744,0.165833,1.150788,0.25694,0,0.164876,0.304824,0.300722,0.238394,0.263611,0.29415,0.120531,0,0.668795,0.161901,0.162977,0,0,0.357632,0.089498,0,0.075797,0.200505,0.905429,0
311,0.528116,1.688445,1.048249,0.890521,0.518728,1.176906,0.939368,0.453434,0.477071,0.788572,0.418833,0.455049,0.650481,0.963056,1.08587,0.345335,0.947778,2.340626,0.333536,0.703395,0.066821,0.751216,1.132867,0.634041,0.638029,1.130459,0,0.864387
